city_id,audit,gini,p_poor,population,radio,corruption
75,0,0.55,0.5974,16877,1,25
76,0,0.54,0.7788,19151,1,19
77,0,0.46,0.0606,5662,1,150
78,0,0.57,0.7371,10850,0,20
79,0,0.48,0.6792,19084,0,20
80,0,0.51,0.7081,6084,0,29
81,0,0.48,0.1484,4721,1,15
82,0,0.55,0.6133,18245,0,27
83,0,0.66,0.1531,4947,0,48
84,0,0.67,0.7001,3885,1,48
85,0,0.52,0.3483,8179,0,28
86,0,0.46,0.5763,13507,1,34
87,0,0.56,0.5845,9787,0,56
88,0,0.6,0.3436,127657,1,22
89,0,0.49,0.6507,28312,0,46
90,0,0.58,0.6717,33902,0,30
91,0,0.74,0.7231,16595,1,23
92,0,0.59,0.6534,19516,1,60
93,0,0.51,0.1854,34973,1,27
94,0,0.74,0.4826,6136,1,32
95,0,0.5,0.4075,6211,1,17
96,0,0.57,0.4971,5911,1,19
97,0,0.49,0.6913,13533,1,34
98,0,0.63,0.2266,27737,1,64
99,0,0.57,0.7846,23787,1,27
100,0,0.56,0.5399,22944,0,23
101,0,0.51,0.6478,6749,0,19
102,0,0.53,0.2445,6231,0,24
103,0,0.37,0.0725,9019,1,18
104,0,0.63,0.3463,10998,1,65
105,0,0.57,0.6253,8258,0,34
106,0,0.59,0.6268,9069,0,74
107,0,0.49,0.5384,3549,0,18
108,0,0.53,0.4403,16875,1,15
109,0,0.56,0.1676,43436,1,171
110,0,0.53,0.4894,9633,0,25
111,0,0.51,0.0743,26572,0,12
112,0,0.66,0.362,4053,0,32
113,0,0.53,0.4757,56534,1,52
114,0,0.49,0.4347,6505,0,23
115,0,0.61,0.5653,2262,0,14
116,0,0.62,0.7791,15393,0,29
117,0,0.62,0.3905,1521,0,66
118,0,0.6,0.5379,39790,0,27
119,0,0.55,0.3903,3289,0,28
120,0,0.53,0.2776,6034,1,30
121,0,0.49,0.6091,6165,0,34
122,0,0.56,0.6722,23774,1,45
123,0,0.62,0.6173,29679,0,23
124,0,0.5,0.2541,6348,1,23
125,0,0.52,0.6799,10232,0,23
126,0,0.71,0.6504,6131,1,30
127,0,0.56,0.5717,34348,0,19
128,0,0.6,0.419,53585,0,33
129,0,0.52,0.7559,13839,0,45
130,0,0.58,0.2425,6896,1,19
131,0,0.56,0.322,2477,0,32
132,0,0.6,0.7848,50331,1,16
133,0,0.57,0.1471,144474,0,100
134,0,0.57,0.201,48912,1,48
135,0,0.64,0.6921,5756,0,31
136,0,0.52,0.5507,24994,0,31
137,0,0.44,0.5748,2427,0,18
138,0,0.55,0.3488,5173,1,14
139,0,0.51,0.1202,54330,1,23
140,0,0.59,0.2398,18191,1,50
141,0,0.56,0.1534,13914,1,38
142,0,0.57,0.6772,8365,0,28
143,0,0.54,0.4597,55875,1,34
144,0,0.59,0.5917,7707,0,49
145,0,0.58,0.6593,18562,0,28
146,0,0.43,0.1709,2418,0,15
147,0,0.59,0.7195,4442,0,41
148,0,0.51,0.4487,12759,0,50
149,0,0.54,0.6299,13500,0,24
150,0,0.62,0.4621,3959,0,18
151,0,0.54,0.1317,13456,1,13
152,0,0.61,0.6485,21316,1,27
153,0,0.53,0.73,40122,0,32
154,0,0.5,0.1877,15205,0,41
155,0,0.56,0.6275,17228,0,26
156,0,0.38,0.3339,2171,0,24
157,0,0.49,0.2455,4922,0,31
158,0,0.43,0.2071,2915,0,25
159,0,0.35,0.1131,1948,1,16
160,0,0.61,0.3547,21965,1,21
161,0,0.58,0.7361,25182,1,20
162,0,0.47,0.6553,18336,0,22
163,0,0.57,0.2393,4868,0,26
164,0,0.48,0.2199,6469,0,55
165,0,0.5,0.2523,13504,1,25
166,0,0.51,0.2083,13287,0,23
167,0,0.48,0.7502,17068,1,16
168,0,0.46,0.1496,3265,0,24
169,0,0.55,0.2459,6386,1,60
170,0,0.47,0.1188,32517,1,30
171,0,0.64,0.297,4721,1,25
172,0,0.57,0.1225,34606,0,23
173,0,0.55,0.3089,4113,0,30
174,0,0.51,0.6763,5127,1,18
175,0,0.49,0.8139,8517,0,30
176,0,0.38,0.0717,3677,0,23
177,0,0.55,0.2391,3756,1,34
178,0,0.57,0.1102,21761,0,21
179,0,0.55,0.6635,3809,0,37
180,0,0.48,0.1196,25517,0,17
181,0,0.63,0.1421,49020,0,28
182,0,0.52,0.707,6840,0,22
183,0,0.49,0.3752,5635,0,23
184,0,0.6,0.4529,13596,0,41
185,0,0.47,0.4224,14178,0,21
186,0,0.78,0.5706,7642,0,25
